date,press_emb_0,press_emb_1,press_emb_2,press_emb_3,press_emb_4,press_emb_5,press_emb_6,press_emb_7,press_emb_8,press_emb_9,press_emb_10,press_emb_11,press_emb_12,press_emb_13,press_emb_14,press_emb_15,press_emb_16,press_emb_17,press_emb_18,press_emb_19,press_emb_20,press_emb_21,press_emb_22,press_emb_23,press_emb_24,press_emb_25,press_emb_26,press_emb_27,press_emb_28,press_emb_29,press_emb_30,press_emb_31
2023-10-16,-0.0044416264,0.23141244,-0.14506815,-0.3619967,0.20335023,0.14873558,-0.2498835,0.091200724,-0.021598764,0.019524485,-0.22916959,-0.006925039,-0.033527546,-0.15532508,-0.08633866,0.107913084,-0.049756687,-0.23995316,-0.28149357,0.020360906,0.20368241,0.0007112473,-0.1715787,-0.23908603,-0.39394575,0.16891202,0.09592378,0.1925224,0.079451196,-0.27437386,-0.10926688,0.11964161
2023-10-17,-0.7138559,1.1728238,0.08145088,-0.94325334,0.7555428,0.097137704,-0.1025437,0.40142173,-0.016461208,0.7873926,-0.18749562,0.2513232,-0.6504156,0.11154501,-0.18942511,-0.1840524,-0.26874328,-0.07671074,-1.2335224,0.07112926,0.1883059,0.11155094,-0.11075514,0.1811206,-0.48232645,-0.098466374,0.11258323,-0.04804352,-0.07722234,-0.55744815,-0.5663848,-0.030993424
2023-10-18,0.05677399,0.18478015,-0.06927985,-0.40504873,0.096967906,0.04989511,-0.12963139,0.068993956,0.13342187,-0.04368198,-0.006249238,-0.016530111,-0.015457772,-0.09148256,-0.0058954135,0.0043497533,-0.14576797,-0.21473616,-0.12849236,-0.026277341,-0.023119714,-0.15471941,-0.17001778,-0.08935549,-0.14694752,0.1182735,-0.039019912,0.005355874,-0.027889676,-0.120653085,-0.12767732,0.07094412
2023-10-19,-2.3496232,2.2518606,0.43135896,-1.1645522,1.6355408,-0.07718091,-0.16252956,0.36308885,0.6676509,2.2009974,0.1538402,0.6587467,-1.9205838,-0.2905804,-1.529649,-0.08068068,-0.5504304,0.43855515,-2.9936347,-0.5154495,-0.71237713,0.060248405,0.4048923,0.38076437,-0.8060837,-0.33125776,0.28389317,-0.45938453,-0.090447895,-0.868827,-1.2458684,0.18593478
2023-10-20,-0.6822363,1.0716969,0.122866586,-0.79704714,0.8429922,-0.059182134,-0.3785461,0.25006098,0.14549954,0.49969152,-0.15713345,-0.04434461,-0.41365886,-0.0500478,-0.2527551,0.110447556,0.029689515,-0.3707331,-0.9066992,0.021071095,0.047307737,-0.15589465,-0.13518018,-0.32634598,-0.51997465,-0.05043198,0.16624849,0.32333022,0.06516779,-0.53601164,-0.6299608,0.28525418
2023-10-21,-2.0961022,2.4644988,1.6129221,-1.2859871,2.3102868,-0.13451429,-0.5850155,0.49218535,0.59153724,3.0330148,0.15121843,1.4354665,-1.6398112,-0.7893977,-2.380373,0.3350579,-1.0593673,0.59534657,-3.4687572,0.16680679,-0.24382044,-0.42361587,0.61567175,-0.4894367,-2.0747578,0.34429574,0.24844022,-0.79917586,1.0858933,-1.436457,-0.8674257,-0.35827777
2023-10-22,-0.11930211,0.3581225,0.12338792,-0.30043736,0.3561565,0.081707716,-0.18400875,0.010798413,0.025407791,0.3066927,-0.121361,0.13441509,-0.09294022,-0.29558688,-0.3797825,0.19786216,-0.108977154,-0.16401735,-0.47116837,0.113636464,0.13941695,-0.16424125,-0.04610213,-0.33864054,-0.5271129,0.22424188,0.11983111,0.044914603,0.28328344,-0.32698083,-0.035949424,0.068716414
2023-10-23,-0.31180224,0.76224446,0.21717736,-0.4768594,0.6034721,0.043928575,-0.1463088,-0.10996379,-0.10864584,0.53439456,-0.14677899,0.04208579,-0.18987888,-0.16161568,-0.47931665,0.28815487,0.10973242,-0.58811533,-0.63032997,0.31786564,0.15921475,-0.44519544,-0.27737635,-0.5222734,-0.4793293,0.106323555,0.38954285,0.20037419,0.18137729,-0.4727853,-0.07464105,0.29499444
2023-10-24,-0.1851983,0.35137162,-0.024869654,-0.50485295,0.25277483,0.033192355,-0.05287549,0.013286788,0.10137145,0.18703735,-0.08392285,0.060321994,-0.08004951,0.07935391,-0.16932759,0.034227878,-0.04427637,-0.38576964,-0.33345243,-0.079257466,-0.110658884,-0.21355452,-0.09679661,-0.16918379,-0.21947387,0.09890972,0.098797865,0.1025636,0.022762097,-0.232366,-0.17360264,0.18356302
2023-10-25,-0.24919668,0.4605278,-0.12741426,-0.58474904,0.38453135,0.01672389,-0.25408968,0.07507683,-0.006790951,0.1376507,-0.20361613,-0.016419128,-0.09975562,0.10563947,-0.10173471,0.11727135,0.08880919,-0.47874662,-0.38153422,-0.041058984,-0.020274311,-0.1087669,-0.22034436,-0.26696295,-0.33294573,-0.032188103,0.23030978,0.33424377,-0.018755995,-0.27717683,-0.2886472,0.27034092
2023-10-26,-0.20685905,0.3836106,-0.2660101,-0.64627457,0.12667482,0.07501458,-0.16013807,-0.04165679,0.1132853,-0.035083152,0.023939881,-0.29244772,-0.26386154,0.29124844,-0.05597765,0.02544552,0.12977809,-0.66271627,-0.21656764,-0.2887373,-0.3473196,-0.17314069,-0.4457795,0.018333375,0.18263616,-0.14021653,0.19114253,0.28027713,-0.4343108,-0.015429944,-0.39785355,0.38369104
2023-10-27,0.11217776,0.13101652,0.1492531,-0.9477717,0.24273276,-0.25718477,-0.14099859,0.41979647,0.16158779,0.02751889,-0.010420874,0.55331326,0.2924535,0.56353754,0.1890918,-0.23432897,-0.45972747,0.031934313,-0.04427132,-0.07277919,-0.24754532,-0.049323708,0.12391517,0.2127471,-0.34389323,-0.12585688,-0.25390202,-0.12058692,0.18680403,-0.05331885,-0.3019215,-0.30365413
2023-10-28,-1.3254435,0.763587,-0.036741287,-0.09712213,0.5214762,0.3199298,0.10346304,-0.44459924,0.2681278,1.2748516,0.10657582,0.12796271,-1.371308,-0.4682861,-1.5813469,0.35064822,0.05263381,0.0084586665,-1.7807465,-0.70015305,-0.7054396,0.18914102,0.14082092,0.25315037,-0.3604132,-0.00035126507,0.58307517,-0.14239617,-0.013389841,-0.18093175,-0.31046787,0.40266198
2023-10-29,0.114324234,-0.03355559,-0.115023784,-0.0068619996,-0.08541995,0.0690573,0.14733368,-0.081526116,-0.060606007,-0.038434085,0.04698949,-0.043054707,0.053296052,-0.09892894,-0.0043276474,0.059061013,-0.04211413,-0.11062094,0.011536521,-0.006446954,-0.030236565,-0.054925688,-0.02945128,-0.0023203045,-0.00985612,0.054634556,-0.008882112,-0.060922146,-0.03173013,0.044669144,0.13186379,-0.0011653081
